active,branch,cwd,file,filetype,project,time
true,main,/home/anurag/.config/nvim,/home/anurag/.config/nvim/lua/plugins/pendulum.lua,lua,nvim,2025-01-23 04:32:59
true,main,/home/anurag/.config/nvim,/home/anurag/.config/nvim/lua/plugins/pendulum.lua,lua,nvim,2025-01-23 04:33:08
true,main,/home/anurag/.config/nvim,/home/anurag/.config/nvim/lua/plugins/pendulum.lua,lua,nvim,2025-01-23 04:33:10
true,main,/home/anurag/.config/nvim,/home/anurag/.config/nvim/lua/plugins/pendulum.lua,lua,nvim,2025-01-23 04:33:31
